dataset_id,reference_period
ACLD,2011 to 2021
CENSUS,"2011, 2016, 2021"
DEATHS,2007 to 2023
NHS,"2014-2015, 2017-2018, 2020-2021, 2022-2023"
NSMHW,2020 to 2022
SDAC,"2018, 2022"
NACDC,2015 to current
ATO_CR,1999 to current
BUSOWN,2009-2010 to 2022-2023
ERS,2020
JK,2020 to 2021
JM,2020 to 2023
PIT_IE,2010-2011 to 2022-2023
PIT_ITR,1999-2000 to 2022-2023
PIT_PS,2001-2002 to 2022-2023
SAE,2018-2019 to 2022-2023
STP,2020 to 2024-2025
AEDC,"2009, 2012, 2015, 2018, 2021"
HE,2005 to 2021
A&T,2006 to 2023
DEX,2015 to 2024
DOMINO,2000 to 2024
AIR,2010 to current
MBS,2006 to 2025
PBS,2006 to 2025
AMEP,2003 to 2019
MT_DEMOGS,1990 to 2023
SDB,2000 to 2023
TRAVELLERS,2006 to 2023
VISA,1990 to 2023
COMBINED,2006 to 2023
CORE,2006-latest
CORE,2006-latest
CORE,2006-latest
CORE,2006-latest
TVA,2015 to 2023
NDIS,2013 to current
MCD,2006 to 2024
