dataset_id,dataset,variable_name,description
A&T,Apprentice and Trainee 2006 - latest,APPRENTICEAPPRENTICESHIPNUMBER,APPRENTICE APPRENTICESHIP NUMBER 
A&T,Apprentice and Trainee 2006 - latest,APPRENTICEEARLIEST,APPRENTICE EARLIEST 
A&T,Apprentice and Trainee 2006 - latest,APPRENTICELATEST,APPRENTICE LATEST 
A&T,Apprentice and Trainee 2006 - latest,APPRENTICESHIPEARLIEST,APPRENTICESHIP EARLIEST 
A&T,Apprentice and Trainee 2006 - latest,APPRENTICESHIPGUID,APPRENTICESHIP GUID 
A&T,Apprentice and Trainee 2006 - latest,APPRENTICESHIPLATEST,APPRENTICESHIP LATEST 
A&T,Apprentice and Trainee 2006 - latest,APPRENTICESHIPTRNGCONTRANO,APPRENTICESHIPTRNGCONTRANO 
A&T,Apprentice and Trainee 2006 - latest,APPRENTICESHPEMPLRELATSHIP,APPRENTICESHIP EMPL RELATSHIP 
A&T,Apprentice and Trainee 2006 - latest,APPRENTICETRNGCONTRANO,APPRENTICE TRNG CONTRANO 
A&T,Apprentice and Trainee 2006 - latest,COMMENCEMENTTYPECODE,COMMENCEMENT TYPE CODE 
A&T,Apprentice and Trainee 2006 - latest,COMMENCEMENTTYPESUBCODE,COMMENCEMENT TYPE SUBCODE 
A&T,Apprentice and Trainee 2006 - latest,CUSTODIALAUSTRALIANAPPRENTICE,Whether the Apprentice is in prison. Used by all states except WA 
A&T,Apprentice and Trainee 2006 - latest,EMPLOYERGUID,Employer GUID 
A&T,Apprentice and Trainee 2006 - latest,EMPLOYERRELATIONSHIPEARLIEST,EMPLOYERRELATIONSHIPEARLIEST 
A&T,Apprentice and Trainee 2006 - latest,EMPLOYERRELATIONSHIPGUID,EMPLOYERRELATIONSHIPGUID 
A&T,Apprentice and Trainee 2006 - latest,EMPLOYERRELATIONSHIPLATEST,EMPLOYERRELATIONSHIPLATEST 
A&T,Apprentice and Trainee 2006 - latest,EMPLOYMENTHOURS,Where the apprentice is part time the number of hours they are employed. 
A&T,Apprentice and Trainee 2006 - latest,RTO_EMPLOYERGUID,RTO_EMPLOYERGUID 
A&T,Apprentice and Trainee 2006 - latest,SCHOOLBASEDAPPRENTICE,Flag indicating that the person is an approved School Based Apprentice. 
A&T,Apprentice and Trainee 2006 - latest,STATUS,Status of the wdo at the time the table was updated 
A&T,Apprentice and Trainee 2006 - latest,SYNTHETIC_AEUID,Synthetic id of individual person on dataset 
A&T,Apprentice and Trainee 2006 - latest,TRAININGCONTRACTEARLIEST,TRAININGCONTRACTEARLIEST 
A&T,Apprentice and Trainee 2006 - latest,TRAININGCONTRACTGUID,Training Contract GUID 
A&T,Apprentice and Trainee 2006 - latest,TRAININGCONTRACTLATEST,TRAININGCONTRACTLATEST 
A&T,Apprentice and Trainee 2006 - latest,VALIDFROM,The actual date the value becomes valid. 
A&T,Apprentice and Trainee 2006 - latest,VALIDTO,The date after the date on which the value ceases to be valid. If null the value was valid as of 31 December 2016. 
A&T,Apprentice and Trainee 2006 - latest,WORKPLACEADDRESSGUID,WORKPLACEADDRESSGUID 
A&T,Apprentice and Trainee 2006 - latest,ARID_HASH_TRUNC,Hashed arid 
A&T,Apprentice and Trainee 2006 - latest,END_DATE,End date 
A&T,Apprentice and Trainee 2006 - latest,ICP_MB,Indigenous community mesh block 
A&T,Apprentice and Trainee 2006 - latest,IN_MAY_23,NA 
A&T,Apprentice and Trainee 2006 - latest,MB_ASGS_2021,Mesh block coded to 2021 asgs 
A&T,Apprentice and Trainee 2006 - latest,SA1_ASGS_2021,Sa1 location 
A&T,Apprentice and Trainee 2006 - latest,SA2_ASGS_2021,Sa2 location 
A&T,Apprentice and Trainee 2006 - latest,SA4_ASGS_2021,Sa4 location 
A&T,Apprentice and Trainee 2006 - latest,START_DATE,Start date 
