,ACLD,CENSUS,DEATHS,NHS,NSMHW,SDAC,ATO_CR,BUSOWN,ERS,JK,JM,MAASMATS,PIT_IE,PIT_ITR,PIT_PS,STP,AEDC,HE,A&T,DEX,DOMINO,AIR,MBS,PBS,AMEP,MT_DEMOGS,SDB,TRAVELLERS,VISA,COMBINED,CORE,CORE,CORE,CORE,TVA,NDIS,MCD
ACLD,0,1,2,4,2,1,2,4,4,1,2,4,4,4,4,4,2,2,2,2,4,4,1,2,2,4,2,4,4,1,1,4,4,4,2,2,1
CENSUS,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
DEATHS,1,1,0,1,2,4,1,4,1,4,4,4,4,1,1,1,2,4,4,4,4,4,4,4,2,4,4,4,4,1,1,1,1,1,4,4,1
NHS,4,1,2,0,2,4,1,4,2,2,1,4,4,4,4,4,2,4,4,2,4,1,4,4,2,4,4,4,2,4,4,2,4,4,1,1,1
NSMHW,1,1,1,1,0,4,1,4,4,4,2,4,4,4,4,4,1,1,4,2,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,2,1
SDAC,2,1,4,4,4,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,1,1,4,2,1
ATO_CR,1,1,2,2,2,2,0,1,2,2,2,4,4,2,2,2,2,2,2,2,4,4,2,2,2,4,2,4,4,4,4,4,4,4,4,2,4
BUSOWN,4,1,4,4,4,4,2,0,4,4,4,4,4,1,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
ERS,4,1,2,1,4,4,1,4,0,4,4,1,4,1,1,4,4,4,4,4,4,4,1,4,4,4,4,4,4,1,1,4,4,1,4,4,1
JK,2,1,4,1,4,4,1,4,4,0,4,4,4,4,4,1,1,4,4,4,1,4,1,4,4,4,4,4,4,1,1,4,1,1,4,4,1
JM,1,1,4,2,1,4,1,4,4,4,0,4,1,1,1,1,1,1,4,4,1,4,1,1,4,4,1,4,1,1,1,4,1,1,4,4,1
MAASMATS,4,1,4,4,4,4,4,4,2,4,4,0,4,4,4,1,1,4,4,4,1,4,1,4,1,4,1,4,4,2,1,4,1,1,4,4,1
PIT_IE,4,1,4,4,4,4,4,4,4,4,2,4,0,1,4,1,1,2,4,4,1,4,1,4,1,4,2,4,4,4,4,4,4,4,2,2,1
PIT_ITR,4,1,2,4,4,4,1,2,2,4,2,4,2,0,2,2,2,2,2,1,4,4,1,2,2,2,2,4,4,2,2,4,2,1,4,2,1
PIT_PS,4,1,2,4,4,4,1,4,2,4,2,4,4,1,0,2,2,2,2,4,4,4,1,4,2,4,2,4,4,4,2,4,2,1,4,2,1
STP,4,1,2,4,4,4,1,4,4,2,2,2,2,1,1,0,2,2,2,2,4,4,4,2,2,4,2,4,4,4,4,4,4,1,2,2,4
